sk_code,cert,card_name,card_full,year,set,variation,number,grade,src_cl,src_pc,src_130p,src_winner,base_value,marked_up,final_price,name_for_match,ebay_n_graded,ebay_recent_median,ebay_trend,ebay_recommendation,src_winner_v2,final_price_v2
SK-26-G-0060,72016903,Charizard-Rev.foil,2016 Pokemon Xy Evolutions Charizard-Rev.foil Evolutions #11 PSA 9,2016,Pokemon Xy Evolutions,Evolutions,11,PSA 9,153.76,166.25,,PC,166.25,194.19,205,charizard rev foil|2016|pokemon xy evolutions|PSA9,8,176.77,stable-norecent,205,ebay,205
SK-26-G-0047,50358384,Celebi-Holo,2000 Pokemon Japanese Neo 3 Celebi-Holo #251 PSA 9,2000,Pokemon Japanese Neo 3,,251,PSA 9,235.59,167.48,,CL,235.59,269.15,280,celebi holo|2000|pokemon japanese neo 3|PSA9,7,244.67,stable-norecent,280,ebay,280
SK-26-G-0074,147655076,Fa / Pikachu Vmax,2020 Pokemon Sword & Shield VIVID Voltage Fa / Pikachu Vmax VIVID Voltage-Secret #188 PSA 10,2020,Pokemon Sword & Shield VIVID Voltage,VIVID Voltage-Secret,188,PSA 10,395.00,358.94,,CL,395.00,444.50,445,fa pikachu vmax|2020|pokemon sword shield vivid voltage|PSA10,4,1676.65,stable-norecent,,formula,445
SK-26-G-0012,145316191,Bulbasaur,2025 Pokemon Meg En-Mega Evolution Bulbasaur Enhanced Bstr Box Topper #133 PSA 10,2025,Pokemon Meg En-Mega Evolution,Enhanced Bstr Box Topper,133,PSA 10,600.00,136.00,,CL,600.00,670.00,740,bulbasaur|2025|pokemon meg en mega evolution|PSA10,7,644.64,stable-norecent,740,ebay,740
SK-26-G-0036,114068076,Milotic Ex,2024 Pokemon Japanese Sv8-Super Electric Breaker Milotic Ex Special Art Rare #131 PSA 10,2024,Pokemon Japanese Sv8-Super Electric Breaker,Special Art Rare,131,PSA 10,112.00,122.99,,PC,122.99,144.44,145,milotic ex|2024|pokemon japanese sv8 super electric breaker|PSA10,2,116.1,stable-norecent,135,formula,145
SK-26-G-0017,110772487,Charizard V,2022 Pokemon Sword & Shield: Brilliant Stars Charizard V Alternate Full Art #154 PSA 9,2022,Pokemon Sword & Shield: Brilliant Stars,Alternate Full Art,154,PSA 9,325.50,336.62,,PC,336.62,380.28,395,charizard v|2022|pokemon sword shield brilliant stars|PSA9,7,344.36,stable,395,ebay,395
SK-26-G-0006,139206918,Mega Venusaur Ex,2025 Pokemon Meg En-Mega Evolution Mega Venusaur Ex Special Illustration Rare #177 PSA 10,2025,Pokemon Meg En-Mega Evolution,Special Illustration Rare,177,PSA 10,326.54,295.48,,CL,326.54,369.19,370,mega venusaur ex|2025|pokemon meg en mega evolution|PSA10,5,50689.0,stable-norecent,,formula,370
SK-26-G-0030,106438552,Fa / Dragonite V,2021 Pokemon Sword & Shield Evolving Skies Fa / Dragonite V Evolving Skies #192 PSA 10,2021,Pokemon Sword & Shield Evolving Skies,Evolving Skies,192,PSA 10,1400.00,1230.00,,CL,1400.00,1512.00,1510,fa dragonite v|2021|pokemon sword shield evolving skies|PSA10,8,1105.49,up,1275,formula,1510
SK-26-G-0027,102607615,Pikachu with Grey Felt Hat,2023 Pokemon SVP Black Star Promos Pikachu with Grey Felt Hat Full Art #085 PSA 10,2023,Pokemon SVP Black Star Promos,Full Art,085,PSA 10,2911.90,,,CL,2911.90,3144.85,3365,pikachu with grey felt hat|2023|pokemon svp black star promos|PSA10,8,3006.24,up,3365,ebay,3365
SK-26-G-0014,94676138,Pikachu with Grey Felt Hat,2023 Pokemon SVP Black Star Promos Pikachu with Grey Felt Hat Full Art #085 PSA 10,2023,Pokemon SVP Black Star Promos,Full Art,085,PSA 10,2911.90,,,CL,2911.90,3144.85,3365,pikachu with grey felt hat|2023|pokemon svp black star promos|PSA10,8,3006.24,up,3365,ebay,3365
