cert,card,grade,sticker,cl_cv,ebay_search_url,lowest_ebay_listing,notes
128159429,2025 Pokemon Simplified Chinese 151 C-Collection 151 Pikachu (Art Rare) #172,PSA 10,3540,3280.00,https://www.ebay.com/sch/i.html?_nkw=PSA+10+Pikachu+%28Art+Rare%29+%23172+Simplified+Chinese+151+C-Collection&_sop=15&LH_BIN=1&LH_PrefLoc=1&_ipg=60,,
102607615,2023 Scarlet & Violet Black Star Promos Pikachu with Grey Felt Hat #85,PSA 10,3400,3150.00,https://www.ebay.com/sch/i.html?_nkw=PSA+10+Pikachu+with+Grey+Felt+Hat+%2385+Scarlet+%26+Violet+Black&_sop=15&LH_BIN=1&LH_PrefLoc=1&_ipg=60,,
94676138,2023 Scarlet & Violet Black Star Promos Pikachu with Grey Felt Hat #85,PSA 10,3400,3150.00,https://www.ebay.com/sch/i.html?_nkw=PSA+10+Pikachu+with+Grey+Felt+Hat+%2385+Scarlet+%26+Violet+Black&_sop=15&LH_BIN=1&LH_PrefLoc=1&_ipg=60,,
151936010,2026 Ascended Heroes Mega Dragonite ex (Special Illustration Rare) #290,PSA 10,2675,2475.00,https://www.ebay.com/sch/i.html?_nkw=PSA+10+Mega+Dragonite+ex+%28Special+Illustration+Rare%29+%23290+Ascended+Heroes&_sop=15&LH_BIN=1&LH_PrefLoc=1&_ipg=60,,
110420477,2021 Evolving Skies Secret FA Umbreon VMAX #215,MINT 9,2490,2304.35,https://www.ebay.com/sch/i.html?_nkw=MINT+9+FA+Umbreon+VMAX+%23215+Evolving+Skies+Secret&_sop=15&LH_BIN=1&LH_PrefLoc=1&_ipg=60,,
151607423,2025 Black Bolt Zekrom ex #172,PSA 10,2050,1900.00,https://www.ebay.com/sch/i.html?_nkw=PSA+10+Zekrom+ex+%23172+Black+Bolt&_sop=15&LH_BIN=1&LH_PrefLoc=1&_ipg=60,,
89932897,2023 Mew EN-151 Charizard ex (Special Illustration Rare) #199,PSA 10,1825,1692.06,https://www.ebay.com/sch/i.html?_nkw=PSA+10+Charizard+ex+%28Special+Illustration+Rare%29+%23199+Mew+EN-151&_sop=15&LH_BIN=1&LH_PrefLoc=1&_ipg=60,,
143516232,2025 White Flare Reshiram ex #173,PSA 10,1460,1350.00,https://www.ebay.com/sch/i.html?_nkw=PSA+10+Reshiram+ex+%23173+White+Flare&_sop=15&LH_BIN=1&LH_PrefLoc=1&_ipg=60,,
106438552,2021 Team Up Dangerous Drill #192,PSA 10,1430,1325.00,https://www.ebay.com/sch/i.html?_nkw=PSA+10+Dangerous+Drill+%23192+Team+Up&_sop=15&LH_BIN=1&LH_PrefLoc=1&_ipg=60,,
119392108,2024 Cosmic Eclipse Weavile #238,PSA 10,1350,1252.01,https://www.ebay.com/sch/i.html?_nkw=PSA+10+Weavile+%23238+Cosmic+Eclipse&_sop=15&LH_BIN=1&LH_PrefLoc=1&_ipg=60,,
