sk_code,name,set,number,condition,price
SK-26-G-0008,Blastoise Holo,Base Set 2,,PSA 9,1190
SK-26-G-0021,Blastoise ex SAR,Card 151 JP,202/165,PSA 10,480
SK-26-G-0051,Shaymin EX,XY Promo,77a,PSA 8,590
SK-26-G-0063,Mega Charizard X ex,XY-P JP,XY-P,PSA 10,360
SK-26-G-0067,Eevee Yu Nagaba,SV JP Promo,1,CGC 10,315
SK-26-G-0069,Umbreon Holo JP,Neo 2,197,PSA 10,1190
SK-26-G-0070,Dark Gengar Holo,Neo Destiny,6,PSA 10,560
SK-26-G-0071,Feraligatr,Neo Genesis,5,CGC 8.5,340
SK-26-G-0072,Mew EX Promo,Black Star,53,PSA 10,165
SK-26-G-0073,Gengar,CBB3 CS,7,PSA 10,590
SK-26-G-0074,Pikachu VMAX,Vivid Voltage,188,PSA 10,505
SK-26-G-0075,Celebi JP,Neo 3,251,PSA 9,295
SK-26-G-0077,Eevee SV Promo,SV Promo,62,CGC Pristine 10,315
SK-26-G-0078,Eevee ex,SP Collection,174,PSA 10,560
SK-26-G-0079,Eevee ex,SP Collection,174,PSA 10,560
SK-26-G-0082,Flittle,Paldean Fates,164,PSA 10,95
