cert,name,current,cl_cv,pc,ebay_avg,ebay_count,winner,base,new_price,action,reason
102607615,Pikachu with Grey Felt Hat,3380.0,3129.82,,2597.17,16,CL,3129.82,3380,no-change,
106438552,Dangerous Drill,1430.0,1325.00,,,0,CL,1325.00,1430,no-change,
107496657,Volcarona-GX,500.0,445.00,,146.66,7,CL,445.00,500,no-change,
108973922,Origin Forme Palkia VSTAR,355.0,313.00,,304.82,8,CL,313.00,355,no-change,
110420477,FA Umbreon VMAX,2490.0,2303.94,,,0,CL,2303.94,2490,no-change,
110772487,M Aggron-EX,405.0,360.00,,,0,CL,360.00,405,no-change,
111350109,FAICHARIZARDVMAX SHINYSTARV,340.0,300.00,,283.74,8,CL,300.00,340,no-change,
112214360,Pidgeotto (Illustration Rare),215.0,185.00,,219.93,8,EBAY,219.93,250,raise,
113090244,Sandile,340.0,300.00,,1296.50,7,EBAY,1296.50,1400,raise,
113910492,Goomy,390.0,345.00,,1142.29,3,EBAY,1142.29,1235,raise,
114068076,Psychic Energy,145.0,123.49,,193.96,4,EBAY,193.96,225,raise,
115079776,Professor Oak's Setup,470.0,420.00,,167.27,8,CL,420.00,470,no-change,
119392108,Weavile,1370.0,1266.75,,186.69,7,CL,1266.75,1370,no-change,
121116624,Deoxys,375.0,329.99,,227.99,7,CL,329.99,375,no-change,
126435156,Eevee ex,505.0,449.99,,455.06,16,EBAY,455.06,510,raise,
128159429,Pikachu (Art Rare),3780.0,3499.00,,2547.83,8,CL,3499.00,3780,no-change,
131611480,Kangaskhan-EX,1030.0,925.00,,120.95,2,CL,925.00,1030,no-change,
134321907,Mega Lopunny & Jigglypuff-GX,430.0,379.99,,1018.82,8,EBAY,1018.82,1100,raise,
138441842,Umbreon Holo JP,1035.0,930.00,,1308.33,5,EBAY,1308.33,1415,raise,
139036804,Zapdos Holo,110.0,93.00,,228.01,8,EBAY,228.01,260,raise,
139206918,Jasmine,315.0,275.00,,201.97,8,CL,275.00,315,no-change,
143540438,Roaring Moon ex (Special Illustration Rare),870.0,780.00,,855.16,1,EBAY,855.16,950,raise,
146514325,Eevee ex,505.0,449.99,,455.06,16,EBAY,455.06,510,raise,
146746311,Mega Latias ex,370.0,325.00,,320.17,8,CL,325.00,370,no-change,
147655076,Pikachu VMAX,395.0,350.00,,390.02,8,EBAY,390.02,440,raise,
3914522049,Feraligatr Holo,175.0,150.00,,,0,CL,150.00,175,no-change,
4321131035,Blastoise ex SAR,400.0,354.90,,35.99,1,CL,354.90,400,no-change,
4322429002,Eevee (Yu Nagaba illustrator),205.0,174.99,,,0,CL,174.99,205,no-change,
50358384,Charizard & Braixen-GX,240.0,210.00,,305.73,8,EBAY,305.73,345,raise,
60607369,Rayquaza,240.0,210.00,,207.90,8,CL,210.00,240,no-change,
6130902118,Mega Charizard X ex,325.0,285.00,,324.87,5,EBAY,324.87,365,raise,
6136935033,Umbreon Gold Star,430.0,380.00,,412.99,2,EBAY,412.99,465,raise,
65570347,Absol,240.0,210.00,,95.73,8,CL,210.00,240,no-change,
72016903,Charizard (Reverse Foil),190.0,164.50,,,0,CL,164.50,190,no-change,
75183695,Origin Forme Dialga VSTAR,365.0,324.00,,324.75,8,EBAY,324.75,365,no-change,
84566703,Moltres,1200.0,,,,,,,,skip,manual override
92889917,Magikarp (Art Rare),430.0,381.00,,322.20,8,CL,381.00,430,no-change,
94676138,Pikachu with Grey Felt Hat,3380.0,3129.82,,2597.17,16,CL,3129.82,3380,no-change,
95199161,Arceus VSTAR,445.0,395.60,,423.66,8,EBAY,423.66,475,raise,
95276041,Charizard ex (Ultra Rare),220.0,190.00,,31554.00,8,EBAY,31554.00,34080,raise,
98517579,FA Shaymin EX,550.0,490.00,,,0,CL,490.00,550,no-change,
99211118,FA Espeon VMAX,925.0,832.00,,760.36,8,CL,832.00,925,no-change,
99513425,Latias ex,260.0,228.00,,262.11,8,EBAY,262.11,300,raise,
152039165,Deoxys VMAX,235.0,199.99,,216.50,8,EBAY,216.50,250,raise,
143516232,Reshiram ex,1460.0,1350.00,,1490.91,8,EBAY,1490.91,1610,raise,
151607423,Zekrom ex,2050.0,1900.00,,1889.11,8,CL,1900.00,2050,no-change,
58568623,Charizard VMAX,345.0,305.00,,312.05,8,EBAY,312.05,355,raise,
6021612152,Ceruledge,50.0,39.01,,101.50,5,EBAY,101.50,120,raise,
6021615021,Pikachu (World Championships),145.0,125.00,,,0,CL,125.00,145,no-change,
151936010,Mega Dragonite ex (Special Illustration Rare),2675.0,2475.00,,2493.70,8,EBAY,2493.70,2695,raise,
89932897,Charizard ex (Special Illustration Rare),1865.0,1725.00,,1815.64,8,EBAY,1815.64,1960,raise,
