cert,name,current,cl_cv,pc,ebay_avg,ebay_count,ebay_reject,ebay_kw,winner,base,new_price,action,reason
102607615,Pikachu with Grey Felt Hat (FA),3400.0,3070.00,,2899.55,16,,PSA 10 Pikachu with Grey Felt Hat #085 SVP Black Star,CL,3070.00,3315,skip-not-lowering,
106438552,FA Dragonite V,1405.0,1402.50,,1055.39,8,,PSA 10 Fa / Dragonite V #192 Sword & Shield,CL,1402.50,1515,skip-below-tier-threshold,
107496657,FA Rayquaza VMAX,535.0,544.85,,344.72,7,,PSA 10 Fa / Rayquaza Vmax #252 Sword & Shield,CL,544.85,610,raise,
108973922,Origin Forme Palkia VSTAR,360.0,312.00,,269.91,5,,PSA 10 Orgn.frm.palkia Vstar #GG67 Sword and Shield,CL,312.00,355,skip-not-lowering,
110420477,Umbreon VMAX (FA Secret),2390.0,2219.00,,2233.86,8,,PSA 9 Umbreon VMAX #215 Sword & Shield:,EBAY,2233.86,2415,skip-below-tier-threshold,
110772487,Charizard V (Alternate Full Art),355.0,337.00,,348.81,8,,PSA 9 Charizard V #154 Sword & Shield:,EBAY,348.81,395,raise,
111350109,FA Charizard VMAX,305.0,271.00,,233.35,8,,PSA 10 Fa / Charizard Vmax #308 Sword & Shield,CL,271.00,310,skip-below-tier-threshold,
112214360,Pidgeotto (Illustration Rare),225.0,250.00,,188.90,7,,PSA 10 Pidgeotto #208 Obf En-Obsidian Flames,CL,250.00,285,raise,
113090244,Rowlet & Alolan Exeggutor GX (FA),200.0,166.51,,225.25,7,,PSA 10 Rowlet / Aln.exgtr.gx #056 Sun & Moon,EBAY,225.25,260,raise,
113910492,FA Mewtwo V,420.0,355.00,,286.00,8,,PSA 10 Fa / Mewtwo V #072 Go,CL,355.00,400,skip-not-lowering,
114068076,Milotic ex (Special Art Rare),175.0,115.20,,165.73,8,,PSA 10 Milotic Ex #131 Sv8-Super Electric Breaker,EBAY,165.73,195,raise,
115079776,Gardevoir ex (Special Illustration Rare),490.0,395.00,,472.05,8,,PSA 10 Gardevoir Ex #233 Paf En-Paldean Fates,EBAY,472.05,530,raise,
119392108,Pikachu ex (Special Illustration Rare),1405.0,1220.16,,218.97,8,,PSA 10 Pikachu ex #238 Scarlet & Violet:,CL,1220.16,1320,skip-not-lowering,
121116624,FA Deoxys,335.0,300.00,,222.22,8,,PSA 10 Fa / Deoxys #GG12 Sword and Shield,CL,300.00,340,skip-below-tier-threshold,
126435156,Eevee ex,550.0,435.00,,493.57,16,,PSA 10 Eevee Ex #174 Svp En-Sv Black,EBAY,493.57,555,skip-below-tier-threshold,
128159429,Pikachu (Art Rare),3500.0,3900.00,,3488.99,8,,PSA 10 Pikachu #172 Simplified Chinese 151,CL,3900.00,4210,raise,
131611480,Mewtwo GX (Secret),1040.0,900.00,,911.20,8,,PSA 8 Mewtwo Gx #78 Sun & Moon,EBAY,911.20,1010,skip-not-lowering,
134321907,M Sableye & Tyranitar GX (FA),475.0,397.51,,366.76,6,,PSA 9 M.sbleye / Tyranitar Gx #226 Sun & Moon,CL,397.51,445,skip-not-lowering,
138441842,Umbreon Holo,1050.0,990.00,,660.81,8,,PSA 9 Umbreon #197 Neo 2,CL,990.00,1100,skip-below-tier-threshold,
139036804,Zapdos Holo,175.0,100.00,,152.10,8,,PSA 8 Zapdos #16 Game,EBAY,152.10,180,raise,
139206918,Mega Venusaur ex (Special Illustration Rare),360.0,301.00,,337.12,8,,PSA 10 Mega Venusaur Ex #177 Meg En-Mega Evolution,EBAY,337.12,380,raise,
143540438,Roaring Moon ex (Special Illustration Rare),955.0,850.00,,868.50,8,,PSA 10 Roaring Moon Ex #162 Pre En-Prismatic Evolutions,EBAY,868.50,965,skip-below-tier-threshold,
146514325,Eevee ex,550.0,435.00,,493.57,16,,PSA 10 Eevee Ex #174 Svp En-Sv Black,EBAY,493.57,555,skip-below-tier-threshold,
146746311,Mega Latias ex (Special Illustration Rare),400.0,295.00,,375.00,8,,PSA 10 Mega Latias Ex #181 Meg En-Mega Evolution,EBAY,375.00,425,raise,
147655076,FA Pikachu VMAX,455.0,348.00,,217.27,7,,PSA 10 Fa / Pikachu Vmax #188 Sword & Shield,CL,348.00,395,skip-not-lowering,
3914522049,Feraligatr Holo,190.0,150.00,,252.91,4,,CGC 8.5 Feraligatr #5/111 Neo Genesis,EBAY,252.91,290,raise,
4321131035,Blastoise ex (Special Art Rare),395.0,385.00,,53.98,3,,CGC PRISTINE 10 Blastoise ex #202/165 Card 151 Japanese,CL,385.00,435,raise,
4322429002,Eevee (Yu Nagaba),210.0,198.00,,75.21,3,,CGC PRISTINE 10 Eevee #062/SV-P Scarlet & Violet,CL,198.00,230,raise,
50358384,Celebi Holo,300.0,270.00,,291.66,8,,PSA 9 Celebi #251 Neo 3,EBAY,291.66,330,raise,
60607369,Rayquaza,265.0,200.00,,235.30,8,,PSA 10 Rayquaza #138 Sword & Shield,EBAY,235.30,270,skip-below-tier-threshold,
6130902118,Mega Charizard X ex (UPC Promo),360.0,240.00,,362.91,4,,CGC PRISTINE 10 Mega Charizard X ex #023 Black Star Promos,EBAY,362.91,410,raise,
6136935033,Umbreon Gold Star,425.0,312.00,,,1,need>=3 (got 1),CGC PRISTINE 10 Umbreon ☆ #17/17 Celebrations - Classic,CL,312.00,355,skip-not-lowering,
65570347,Venusaur Holo,300.0,186.00,,,8,avg $393 > 2x CL $186,PSA 7 Venusaur #15 Game,CL,186.00,215,skip-not-lowering,
72016903,Charizard (Reverse Foil),185.0,161.50,,210.57,8,,PSA 9 Charizard #11 Xy Evolutions,EBAY,210.57,240,raise,
75183695,Origin Forme Dialga VSTAR,375.0,355.00,,308.10,8,,PSA 10 Orgn.frm.dialga Vstar #GG68 Sword and Shield,CL,355.00,400,raise,
84566703,Moltres,1100.0,900.00,,1389.35,5,,PSA 10 Moltres #146 Vending,EBAY,1389.35,1500,raise,
92889917,Magikarp (Art Rare),370.0,315.00,,408.65,8,,PSA 10 Magikarp #080 Sv1a-Triplet Beat,EBAY,408.65,460,raise,
94676138,Pikachu with Grey Felt Hat (FA),3400.0,3070.00,,2899.55,16,,PSA 10 Pikachu with Grey Felt Hat #085 SVP Black Star,CL,3070.00,3315,skip-not-lowering,
95199161,FA Arceus VSTAR,470.0,390.00,,396.25,4,,PSA 10 Fa / Arceus Vstar #GG70 Sword and Shield,EBAY,396.25,445,skip-not-lowering,
95276041,Charizard ex (Ultra Rare),225.0,202.50,,218.17,8,,PSA 10 Charizard Ex #215 Obf En-Obsidian Flames,EBAY,218.17,250,raise,
98517579,FA Shaymin EX,550.0,490.00,,453.97,7,,PSA 8 Fa / Shaymin Ex #77a Premium Trainer Xy,CL,490.00,550,no-change,
99211118,FA Espeon VMAX,895.0,854.55,,,8,avg $4116 > 2x CL $855,PSA 10 Espeon VMAX #270 Sword & Shield:,CL,854.55,950,raise,
99513425,Latias ex (Special Art Rare),280.0,200.00,,227.76,8,,PSA 10 Latias Ex #087 Sv7a-Paradise Dragona,EBAY,227.76,260,skip-not-lowering,
152039165,FA Deoxys VMAX,235.0,199.99,,182.70,8,,PSA 10 Full Art / Deoxys Vmax #GG45 Sword and Shield,CL,199.99,235,no-change,
143516232,Reshiram ex (Black White Rare),1765.0,1675.00,,1594.80,16,,PSA 10 Reshiram Ex #173 Wht En-White Flare,CL,1675.00,1810,skip-below-tier-threshold,
151607423,Zekrom ex (Black White Rare),2090.0,,,,0,,,,,,skip,not in CL
58568623,Charizard VMAX (Shiny Vault FA),365.0,295.00,,325.92,8,,PSA 10 Charizard VMAX #SV107 Sword & Shield:,EBAY,325.92,370,skip-below-tier-threshold,
6021612152,Ceruledge (Pokémon Day Promo Cosmos Holo),75.0,16.50,,,7,avg $53 > 2x CL $16,CGC PRISTINE 10 Ceruledge #040/091 Paldean Fates -,CL,16.50,20,skip-not-lowering,
6021615021,Pikachu (World Championships),145.0,125.00,,93.12,4,,CGC PRISTINE 10 Pikachu #190 Black Star Promos,CL,125.00,145,no-change,
151936010,Mega Dragonite ex (Special Illustration Rare),2800.0,2350.00,,2594.60,8,,PSA 10 Mega Dragonite Ex #290 Asc En-Ascended Heroes,EBAY,2594.60,2800,no-change,
89932897,Charizard ex (Special Illustration Rare),1840.0,1706.67,,1733.06,8,,PSA 10 Charizard ex #199 Scarlet & Violet,EBAY,1733.06,1870,skip-below-tier-threshold,
