cert,name,current,cl_cv,pc,ebay_avg,ebay_count,ebay_reject,ebay_kw,ebay_url,winner,base,new_price,action,reason
110420477,Umbreon VMAX (FA Secret),2555.0,2449.00,2307.20,2466.00,20,,2021 Umbreon VMAX Full Art Secret Rare #215 Sword & Shield Evolving Skies PSA 9,https://www.ebay.com/sch/i.html?_nkw=2021+Umbreon+VMAX+Full+Art+Secret+Rare+%23215+Sword+%26+Shield+Evolving+Skies+PSA+9&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,2466.00,2525,skip-not-lowering,
111350109,FA Charizard VMAX,345.0,300.00,317.50,325.80,41,,2020 Full Art Charizard Vmax Shiny Star V #308 Sword & Shield Shiny Star V PSA 10,https://www.ebay.com/sch/i.html?_nkw=2020+Full+Art+Charizard+Vmax+Shiny+Star+V+%23308+Sword+%26+Shield+Shiny+Star+V+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,325.80,340,skip-not-lowering,
113090244,Rowlet & Alolan Exeggutor GX (FA),260.0,250.00,,216.00,3,,2019 Rowlet Aln.exgtr.gx Sky Legend-Full Art #056 Sun & Moon Sky Legend PSA 10,https://www.ebay.com/sch/i.html?_nkw=2019+Rowlet+Aln.exgtr.gx+Sky+Legend-Full+Art+%23056+Sun+%26+Moon+Sky+Legend+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,CL,250.00,260,no-change,
113910492,FA Mewtwo V,400.0,350.00,,368.49,102,,2022 Full Art Mewtwo V #072 Go PSA 10,https://www.ebay.com/sch/i.html?_nkw=2022+Full+Art+Mewtwo+V+%23072+Go+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,368.49,380,skip-not-lowering,
114068076,Milotic ex (Special Art Rare),170.0,135.00,134.34,169.69,30,,2024 Milotic Ex Special Art Rare #131 Sv8-Super Electric Breaker PSA 10,https://www.ebay.com/sch/i.html?_nkw=2024+Milotic+Ex+Special+Art+Rare+%23131+Sv8-Super+Electric+Breaker+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,169.69,180,raise,
115079776,Gardevoir ex (Special Illustration Rare),500.0,440.00,440.00,438.98,32,,2024 Gardevoir Ex Special Illustration Rare #233 Paldean Fates PSA 10,https://www.ebay.com/sch/i.html?_nkw=2024+Gardevoir+Ex+Special+Illustration+Rare+%23233+Paldean+Fates+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,CL,440.00,455,skip-not-lowering,
119392108,Pikachu ex (Special Illustration Rare),1225.0,1155.00,1166.29,1240.00,34,,2024 Pikachu ex Special Illustration Rare #238 Scarlet & Violet Surging Sparks PSA 10,https://www.ebay.com/sch/i.html?_nkw=2024+Pikachu+ex+Special+Illustration+Rare+%23238+Scarlet+%26+Violet+Surging+Sparks+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,1240.00,1270,skip-below-tier-threshold,
121116624,FA Deoxys,295.0,290.00,282.23,251.67,13,,2023 Full Art Deoxys Crown Zenith #GG12 Sword and Shield Crown Zenith PSA 10,https://www.ebay.com/sch/i.html?_nkw=2023+Full+Art+Deoxys+Crown+Zenith+%23GG12+Sword+and+Shield+Crown+Zenith+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,CL,290.00,300,skip-below-tier-threshold,
126435156,Eevee ex,440.0,400.00,390.89,418.21,79,,2025 Eevee Ex Pre Super-Premium Collection #174 Sv Black Star Promo PSA 10,https://www.ebay.com/sch/i.html?_nkw=2025+Eevee+Ex+Pre+Super-Premium+Collection+%23174+Sv+Black+Star+Promo+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,418.21,435,skip-not-lowering,
128159429,Pikachu (Art Rare),4285.0,3850.00,3450.00,3880.60,23,,2025 Pikachu Art Rare #172 Simplified Chinese 151 C-Collection 151 PSA 10,https://www.ebay.com/sch/i.html?_nkw=2025+Pikachu+Art+Rare+%23172+Simplified+Chinese+151+C-Collection+151+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,3880.60,3965,skip-not-lowering,
131611480,Mewtwo GX (Secret),970.0,895.00,875.31,905.80,62,,2017 Mewtwo Gx Shining Legends-Secret #78 Sun & Moon Shining Legends PSA 8,https://www.ebay.com/sch/i.html?_nkw=2017+Mewtwo+Gx+Shining+Legends-Secret+%2378+Sun+%26+Moon+Shining+Legends+PSA+8&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,905.80,930,skip-not-lowering,
134321907,M Sableye & Tyranitar GX (FA),395.0,375.00,380.00,,0,need>=3 (got 0),2019 M.sbleye Tyranitar Gx Unified Minds-Fa #226 Sun & Moon Unified Minds PSA 9,https://www.ebay.com/sch/i.html?_nkw=2019+M.sbleye+Tyranitar+Gx+Unified+Minds-Fa+%23226+Sun+%26+Moon+Unified+Minds+PSA+9&LH_Sold=1&LH_Complete=1&_ipg=120,PC,380.00,395,no-change,
139036804,Zapdos Holo,120.0,107.66,,110.40,40,,1999 Zapdos #16 Game PSA 8,https://www.ebay.com/sch/i.html?_nkw=1999+Zapdos+%2316+Game+PSA+8&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,110.40,120,no-change,
143540438,Roaring Moon ex (Special Illustration Rare),945.0,845.00,830.00,854.90,45,,2025 Roaring Moon Ex Special Illustration Rare #162 Prismatic Evolutions PSA 10,https://www.ebay.com/sch/i.html?_nkw=2025+Roaring+Moon+Ex+Special+Illustration+Rare+%23162+Prismatic+Evolutions+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,854.90,880,skip-not-lowering,
146746311,Mega Latias ex (Special Illustration Rare),320.0,283.00,300.50,300.67,105,,2025 Mega Latias Ex Special Illustration Rare #181 Mega Evolution PSA 10,https://www.ebay.com/sch/i.html?_nkw=2025+Mega+Latias+Ex+Special+Illustration+Rare+%23181+Mega+Evolution+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,300.67,315,skip-not-lowering,
147655076,FA Pikachu VMAX,415.0,350.00,378.00,392.91,10,,2020 Full Art Pikachu Vmax VIVID Voltage-Secret #188 Sword & Shield VIVID Voltage PSA 10,https://www.ebay.com/sch/i.html?_nkw=2020+Full+Art+Pikachu+Vmax+VIVID+Voltage-Secret+%23188+Sword+%26+Shield+VIVID+Voltage+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,392.91,405,skip-not-lowering,
3914522049,Feraligatr Holo,160.0,149.00,,,0,need>=3 (got 0),2000 Feraligatr Holo #5 Neo Genesis CGC 8.5,https://www.ebay.com/sch/i.html?_nkw=2000+Feraligatr+Holo+%235+Neo+Genesis+CGC+8.5&LH_Sold=1&LH_Complete=1&_ipg=120,CL,149.00,160,no-change,
4321131035,Blastoise ex (Special Art Rare),400.0,350.00,,,0,need>=3 (got 0),2023 Blastoise ex Special Art Rare Holo #202 Card 151 Japanese CGC PRISTINE 10,https://www.ebay.com/sch/i.html?_nkw=2023+Blastoise+ex+Special+Art+Rare+Holo+%23202+Card+151+Japanese+CGC+PRISTINE+10&LH_Sold=1&LH_Complete=1&_ipg=120,CL,350.00,365,skip-not-lowering,
4322429002,Eevee (Yu Nagaba),300.0,204.00,,,0,need>=3 (got 0),2023 Eevee YU NAGABA x Pokémon #062 Scarlet & Violet Promos Japanese CGC PRISTINE 10,https://www.ebay.com/sch/i.html?_nkw=2023+Eevee+YU+NAGABA+x+Pok%C3%A9mon+%23062+Scarlet+%26+Violet+Promos+Japanese+CGC+PRISTINE+10&LH_Sold=1&LH_Complete=1&_ipg=120,CL,204.00,215,skip-not-lowering,
6130902118,Mega Charizard X ex (UPC Promo),320.0,250.00,,,0,need>=3 (got 0),2025 Mega Charizard X ex Mega Charizard X ex UPC #023 Black Star Promos CGC PRISTINE 10,https://www.ebay.com/sch/i.html?_nkw=2025+Mega+Charizard+X+ex+Mega+Charizard+X+ex+UPC+%23023+Black+Star+Promos+CGC+PRISTINE+10&LH_Sold=1&LH_Complete=1&_ipg=120,CL,250.00,260,skip-not-lowering,
6136935033,Umbreon Gold Star,530.0,384.00,,,0,need>=3 (got 0),2021 Umbreon ☆ POP Series 5 Holo #17 Celebrations - Classic Coll. CGC PRISTINE 10,https://www.ebay.com/sch/i.html?_nkw=2021+Umbreon+%E2%98%86+POP+Series+5+Holo+%2317+Celebrations+-+Classic+Coll.+CGC+PRISTINE+10&LH_Sold=1&LH_Complete=1&_ipg=120,CL,384.00,400,skip-not-lowering,
65570347,Venusaur Holo,245.0,175.00,,225.50,41,,1999 Venusaur #15 Game PSA 7,https://www.ebay.com/sch/i.html?_nkw=1999+Venusaur+%2315+Game+PSA+7&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,225.50,235,skip-not-lowering,
72016903,Charizard (Reverse Foil),265.0,200.00,175.25,254.57,115,,2016 Charizard Evolutions #11 Xy Evolutions PSA 9,https://www.ebay.com/sch/i.html?_nkw=2016+Charizard+Evolutions+%2311+Xy+Evolutions+PSA+9&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,254.57,265,no-change,
84566703,Moltres,925.0,854.00,,1157.00,8,,1998 Moltres Series II #146 Vending PSA 10,https://www.ebay.com/sch/i.html?_nkw=1998+Moltres+Series+II+%23146+Vending+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,1157.00,1185,raise,
94676138,Pikachu with Grey Felt Hat (FA),3580.0,3500.00,,3098.17,116,,2023 Pikachu with Grey Felt Hat Full Art #085 SVP Black Star Promos PSA 10,https://www.ebay.com/sch/i.html?_nkw=2023+Pikachu+with+Grey+Felt+Hat+Full+Art+%23085+SVP+Black+Star+Promos+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,CL,3500.00,3580,no-change,
95199161,FA Arceus VSTAR,450.0,430.00,430.00,419.99,21,,2023 Full Art Arceus Vstar Crown Zenith-Secret #GG70 Sword and Shield Crown Zenith PSA 10,https://www.ebay.com/sch/i.html?_nkw=2023+Full+Art+Arceus+Vstar+Crown+Zenith-Secret+%23GG70+Sword+and+Shield+Crown+Zenith+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,CL,430.00,445,skip-not-lowering,
95276041,Charizard ex (Ultra Rare),215.0,202.50,201.25,207.43,105,,2023 Charizard Ex Ultra Rare #215 Obsidian Flames PSA 10,https://www.ebay.com/sch/i.html?_nkw=2023+Charizard+Ex+Ultra+Rare+%23215+Obsidian+Flames+PSA+10&LH_Sold=1&LH_Complete=1&_ipg=120,EBAY,207.43,220,skip-below-tier-threshold,
