cert,name,set,number,grader,grade,your_tcg_price,pc_matched,price_raw,price_psa_8,price_psa_9,price_psa_9.5,price_psa_10,price_bgs_10,current_tier_market,current_tier_vs_list,best_alt_tier,best_alt_market,best_alt_uplift,profitable_tiers,psa_pop_current_grade,psa_pop_psa10,psa_pop_psa9,pop_source,notes
121116624,Fa / Deoxys,Sword and Shield Crown Zenith,GG12,PSA,10,340.00,yes,16.21,14.00,25.61,40.66,207.50,270.00,207.50,-132.50,,,,,None,1343,2091,pikawiz,
95199161,Fa / Arceus Vstar,Sword and Shield Crown Zenith,GG70,PSA,10,555.00,yes,156.25,112.21,155.60,171.00,390.00,367.82,390.00,-165.00,,,,,None,18607,10615,pikawiz,
99513425,Latias Ex,Japanese Sv7a-Paradise Dragona,087,PSA,10,240.00,yes,146.52,80.00,134.92,136.62,207.50,263.88,207.50,-32.50,,,,,None,None,None,not found,
107496657,Fa / Rayquaza Vmax,Japanese Sword & Shield Vmax Climax,252,PSA,10,535.00,yes,80.40,84.46,125.00,138.00,437.50,569.00,437.50,-97.50,BGS 10,569.00,+34.00,BGS 10 (+$34),None,None,None,not found,
139206918,Mega Venusaur Ex,Meg En-Mega Evolution,177,PSA,10,370.00,yes,135.56,122.89,139.79,186.27,295.48,315.55,295.48,-74.52,,,,,None,None,None,not found,
108973922,Orgn.frm.palkia Vstar,Sword and Shield Crown Zenith,GG67,PSA,10,380.00,yes,100.61,79.13,100.70,100.95,330.00,280.00,330.00,-50.00,,,,,None,14826,9791,pikawiz,
131611480,Mewtwo Gx,Sun & Moon Shining Legends,78,PSA,8,1040.00,yes,490.82,826.00,1622.51,3617.49,7750.00,10075.00,826.00,-214.00,BGS 10,10075.00,+9035.00,BGS 10 (+$9035); PSA 10 (+$6710); PSA 9.5 (+$2577); PSA 9 (+$583),None,2628,6131,pikawiz,
84566703,Moltres,Japanese Vending,146,PSA,10,1555.00,yes,24.68,62.90,102.91,107.00,427.75,556.00,427.75,-1127.25,,,,,None,None,None,not found,
145316191,Bulbasaur,Meg En-Mega Evolution,133,PSA,10,740.00,yes,22.21,21.67,34.28,36.80,133.22,173.00,133.22,-606.78,,,,,None,None,None,not found,
111350109,Fa / Charizard Vmax,Japanese Sword & Shield Shiny Star V,308,PSA,10,405.00,yes,109.21,77.38,125.97,167.00,304.70,375.00,304.70,-100.30,,,,,None,None,None,not found,
94676138,Pikachu with Grey Felt Hat,SVP Black Star Promos,085,PSA,10,3365.00,yes,952.25,775.00,1002.66,1409.88,2944.00,4354.70,2944.00,-421.00,BGS 10,4354.70,+989.70,BGS 10 (+$990),None,46455,47620,pikawiz,
134321907,M.sbleye / Tyranitar Gx,Sun & Moon Unified Minds,226,PSA,9,430.00,yes,308.75,279.85,345.50,517.50,1200.00,1000.50,345.50,-84.50,PSA 10,1200.00,+770.00,PSA 10 (+$770); BGS 10 (+$570); PSA 9.5 (+$88),None,1372,1543,pikawiz,
110772487,Charizard V,Sword & Shield: Brilliant Stars,154,PSA,9,395.00,yes,280.00,280.00,336.62,396.55,943.14,1615.96,336.62,-58.38,BGS 10,1615.96,+1220.96,BGS 10 (+$1221); PSA 10 (+$548),None,15290,11285,pikawiz,
146746311,Mega Latias Ex,Meg En-Mega Evolution,181,PSA,10,400.00,yes,80.00,69.33,80.55,132.50,293.09,420.63,293.09,-106.91,,,,,None,None,None,not found,
99211118,Espeon VMAX,Sword & Shield: Fusion Strike,270,PSA,10,970.00,yes,280.00,240.68,307.20,380.00,792.66,906.32,792.66,-177.34,,,,,None,11585,5932,pikawiz,
0014250139,Charizard,Game,4,PSA,8.5,1455.00,yes,398.83,1387.50,2812.00,4248.49,27485.41,35731.00,2812.00,+1357.00,BGS 10,35731.00,+34276.00,BGS 10 (+$34276); PSA 10 (+$26030); PSA 9.5 (+$2793),None,489,8417,pikawiz,
110420477,Umbreon VMAX,Sword & Shield: Evolving Skies,215,PSA,9,2580.00,yes,1733.60,1700.00,2190.37,2729.83,4360.00,4951.25,2190.37,-389.63,BGS 10,4951.25,+2371.25,BGS 10 (+$2371); PSA 10 (+$1780); PSA 9.5 (+$150),None,19858,5699,pikawiz,
75183695,Orgn.frm.dialga Vstar,Sword and Shield Crown Zenith,GG68,PSA,10,435.00,yes,110.50,85.48,105.99,125.00,325.00,354.46,325.00,-110.00,,,,,None,15457,9176,pikawiz,
135860324,Rocket's Wobbuffet,Svp En-Sv Black Star Promo,203,PSA,10,1215.00,yes,11.50,14.25,22.25,24.00,144.49,188.00,144.49,-1070.51,,,,,None,1634,4365,pikawiz,
102607615,Pikachu with Grey Felt Hat,SVP Black Star Promos,085,PSA,10,3365.00,yes,952.25,775.00,1002.66,1409.88,2944.00,4354.70,2944.00,-421.00,BGS 10,4354.70,+989.70,BGS 10 (+$990),None,46455,47620,pikawiz,
113910492,Fa / Mewtwo V,Go,072,PSA,10,425.00,yes,64.88,52.78,71.00,74.00,362.50,505.00,362.50,-62.50,BGS 10,505.00,+80.00,BGS 10 (+$80),None,7270,5286,pikawiz,
106438552,Fa / Dragonite V,Sword & Shield Evolving Skies,192,PSA,10,1510.00,yes,398.37,337.94,472.83,496.65,1341.46,2350.00,1341.46,-168.54,BGS 10,2350.00,+840.00,BGS 10 (+$840),None,9737,7069,pikawiz,
119392108,Pikachu ex,Scarlet & Violet: Surging Sparks,238,PSA,10,1435.00,yes,299.94,248.50,319.40,499.14,1275.00,2102.00,1275.00,-160.00,BGS 10,2102.00,+667.00,BGS 10 (+$667),None,None,None,not found,
102369962,Charizard Ex,Obf En-Obsidian Flames,215,PSA,10,265.00,yes,18.92,31.27,43.31,48.00,170.00,221.00,170.00,-95.00,,,,,None,5726,7827,pikawiz,
115079776,Gardevoir Ex,Paf En-Paldean Fates,233,PSA,10,490.00,yes,161.46,128.25,164.80,181.00,416.44,541.00,416.44,-73.56,BGS 10,541.00,+51.00,BGS 10 (+$51),None,8682,8738,pikawiz,
