cert,card,grade,cl_current_value,cl_investment,price_before,price_after,delta_dollars,delta_pct,is_new
152039165,2023 Pokemon Sword and Shield Crown Zenith Full Art / Deoxys Vmax #GG45 PSA 10,PSA 10,199.99,,NEW,235,,,yes
143516232,2025 Pokemon Wht En-White Flare Reshiram Ex Black White Rare #173 PSA 10,PSA 10,1350.00,1300.00,NEW,1460,,,yes
151607423,2025 Pokemon Blk En-Black Bolt Zekrom Ex Black White Rare #172 PSA 10,PSA 10,1900.00,1700.00,NEW,2050,,,yes
58568623,2021 Pokemon Sword & Shield Shining Fates #SV107 Full Art / Charizard Vmax,PSA 10,285.08,,NEW,325,,,yes
6021612152,2024 Pokemon Paldean Fates - PAF EN Ceruledge Pokémon Day Promo (Cosmos Holo) #040/091 CGC 10  PristineRISTINE,CGC 10  Pristine,59.99,,NEW,70,,,yes
6021615021,2024 Pokemon Black Star Promos - Scarlet & Violet SVP EN Pikachu World Championships #190 CGC 10  PristineRISTINE,CGC 10  Pristine,102.00,,NEW,120,,,yes
151936010,2026 Pokemon Asc En-Ascended Heroes Mega Dragonite Ex Special Illustration Rare #290 PSA 10,PSA 10,2475.00,2600.00,NEW,2675,,,yes
89932897,2023 Pokemon Mew En-151 #199 Charizard Ex Special Illustration Rare,PSA 10,1692.06,,NEW,1825,,,yes
84566703,1998 Pokemon Japanese Vending Moltres Series II #146 PSA 10,PSA 10,940.00,100.00,1555,1045,-510,-32.8%,
128159429,2025 Pokemon Simplified Chinese 151 C-Collection 151 Pikachu Art Rare #172 PSA 10,PSA 10,3280.00,2550.00,3185,3540,+355,+11.1%,
138441842,2000 Pokemon Japanese Neo 2 Umbreon-Holo #197 PSA 9,PSA 9,930.00,100.00,1220,1035,-185,-15.2%,
4321131035,2023 Pokemon Card 151 Japanese Blastoise ex Special Art Rare Holo #202/165 CGC 10 Pristine,CGC 10  Pristine,354.90,100.00,250,400,+150,+60.0%,
112214360,2023 Pokemon Obf En-Obsidian Flames Pidgeotto Illustration Rare #208 PSA 10,PSA 10,185.00,100.00,310,215,-95,-30.6%,
99211118,2021 Pokemon Sword & Shield: Fusion Strike Espeon VMAX Full Art Secret Rare #270 PSA 10,PSA 10,786.09,100.00,970,875,-95,-9.8%,
