cert,name,sticker,floor
128159429,2025 Pikachu (Art Rare) Simplified Chinese 151 #172 PSA 10,$3500,$3220
102607615,2023 Pikachu with Grey Felt Hat (FA) Scarlet & Violet Promos #85 PSA 10,$3400,$3130
94676138,2023 Pikachu with Grey Felt Hat (FA) Scarlet & Violet Promos #85 PSA 10,$3400,$3130
151936010,2026 Mega Dragonite ex (Special Illustration Rare) Ascended Heroes #290 PSA 10,$2800,$2575
110420477,2021 Umbreon VMAX (FA Secret) Evolving Skies #215 PSA 9,$2390,$2200
151607423,2025 Zekrom ex (Black White Rare) Black Bolt #172 PSA 10,$2090,$1925
89932897,2023 Charizard ex (Special Illustration Rare) 151 #199 PSA 10,$1840,$1695
143516232,2025 Reshiram ex (Black White Rare) White Flare #173 PSA 10,$1765,$1625
156593992,2025 Reshiram ex (Black White Rare) White Flare #173 PSA 10,$1765,$1625
106438552,2021 FA Dragonite V Evolving Skies #192 PSA 10,$1405,$1295
119392108,2024 Pikachu ex (Special Illustration Rare) Surging Sparks #238 PSA 10,$1405,$1295
84566703,1998 Moltres Japanese Vending Series II #146 PSA 10,$1100,$1010
138441842,2000 Umbreon Holo Neo 2 (Japanese) #197 PSA 9,$1050,$965
131611480,2017 Mewtwo GX (Secret) Shining Legends #78 PSA 8,$1040,$955
143540438,2025 Roaring Moon ex (Special Illustration Rare) Prismatic Evolutions #162 PSA 10,$955,$880
99211118,2021 FA Espeon VMAX Fusion Strike #270 PSA 10,$895,$825
126435156,2025 Eevee ex Scarlet & Violet Promos #174 PSA 10,$550,$505
146514325,2025 Eevee ex Scarlet & Violet Promos #174 PSA 10,$550,$505
98517579,2017 FA Shaymin EX XY Premium Trainer Collection #77a PSA 8,$550,$505
107496657,2021 FA Rayquaza VMAX VMAX Climax (Japanese) #252 PSA 10,$535,$490
115079776,2024 Gardevoir ex (Special Illustration Rare) Paldean Fates #233 PSA 10,$490,$450
134321907,2019 M Sableye & Tyranitar GX (FA) Unified Minds #226 PSA 9,$475,$435
95199161,2023 FA Arceus VSTAR Crown Zenith #GG70 PSA 10,$470,$430
147655076,2020 FA Pikachu VMAX Vivid Voltage #188 PSA 10,$455,$420
6136935033,2021 Umbreon Gold Star Celebrations Classic Collection #17/17 CGC Pristine 10,$425,$390
113910492,2022 FA Mewtwo V Pokémon GO #72 PSA 10,$420,$385
146746311,2025 Mega Latias ex (Special Illustration Rare) Mega Evolution #181 PSA 10,$400,$370
4321131035,2023 Blastoise ex (Special Art Rare) Card 151 (Japanese) #202/165 CGC Pristine 10,$395,$365
75183695,2023 Origin Forme Dialga VSTAR Crown Zenith #GG68 PSA 10,$375,$345
92889917,2023 Magikarp (Art Rare) SV1a Triplet Beat (Japanese) #80 PSA 10,$370,$340
58568623,2021 Charizard VMAX (Shiny Vault FA) Shining Fates #SV107 PSA 10,$365,$335
108973922,2023 Origin Forme Palkia VSTAR Crown Zenith #GG67 PSA 10,$360,$330
139206918,2025 Mega Venusaur ex (Special Illustration Rare) Mega Evolution #177 PSA 10,$360,$330
6130902118,2025 Mega Charizard X ex (UPC Promo) Black Star Promos #23 CGC Pristine 10,$360,$330
110772487,2022 Charizard V (Alternate Full Art) Brilliant Stars #154 PSA 9,$355,$325
121116624,2023 FA Deoxys Crown Zenith #GG12 PSA 10,$335,$310
111350109,2020 FA Charizard VMAX Shiny Star V (Japanese) #308 PSA 10,$305,$280
50358384,2000 Celebi Holo Neo 3 (Japanese) #251 PSA 9,$300,$275
65570347,1999 Venusaur Holo Base Set #15 PSA 7,$300,$275
99513425,2024 Latias ex (Special Art Rare) SV7a Paradise Dragona (Japanese) #87 PSA 10,$280,$260
60607369,2020 Rayquaza Vivid Voltage #138 PSA 10,$265,$245
152039165,2023 FA Deoxys VMAX Crown Zenith #GG45 PSA 10,$235,$215
112214360,2023 Pidgeotto (Illustration Rare) Obsidian Flames #208 PSA 10,$225,$205
95276041,2023 Charizard ex (Ultra Rare) Obsidian Flames #215 PSA 10,$225,$205
4322429002,2023 Eevee (Yu Nagaba) Scarlet & Violet Promos (Japanese) #62/SV-P CGC Pristine 10,$210,$195
113090244,2019 Rowlet & Alolan Exeggutor GX (FA) Sky Legend (Japanese) #56 PSA 10,$200,$185
3914522049,2000 Feraligatr Holo Neo Genesis #5/111 CGC 8.5,$190,$175
72016903,2016 Charizard (Reverse Foil) XY Evolutions #11 PSA 9,$185,$170
114068076,2024 Milotic ex (Special Art Rare) SV8 Super Electric Breaker (Japanese) #131 PSA 10,$175,$160
139036804,1999 Zapdos Holo Base Set #16 PSA 8,$175,$160
6021615021,2024 Pikachu (World Championships) Scarlet & Violet Promos #190 CGC Pristine 10,$145,$135
6021612152,2024 Ceruledge (Pokémon Day Promo Cosmos Holo) Paldean Fates #40/091 CGC Pristine 10,$75,$70
104313026,2024 Palafin (Illustration Rare) Paldean Fates #225 PSA 10,$70,$65
