square_item_id,product_type,product_name,current_image_url,new_image_url,notes
IJJUHPRANC54M6KCJKNSMNZJ,Booster Box,Adventure on Kami's Island Booster Box (One Piece OP-15),https://items-images-production.s3.us-west-2.amazonaws.com/files/cf3a799c4d27a87200130442e1d6c778ff3975fa/original.jpeg,,
PTYEGN7U7GEZRKAZHCEM67OE,Booster Box,Mega Evolution M2 Inferno X Booster Box (JP),https://items-images-production.s3.us-west-2.amazonaws.com/files/be7cfc3ac4e5c8f2104edd3552a15085677fdef6/original.jpeg,,
LKDPS7NYUFXIADF4SBUKASQB,Booster Box,Ninja Spinner Booster Box (JP),https://items-images-production.s3.us-west-2.amazonaws.com/files/93bfc2fc289c807be7cc2c8bdf30ce143d30c6ff/original.jpeg,,
TDGU37QWRWH5G7BCQVPPEQVG,Booster Box,Phantasmal Flames Booster Box,https://items-images-production.s3.us-west-2.amazonaws.com/files/60a1bf50a92c0449595832bee446e1018478bf55/original.jpeg,,
VMJVMD3CKPVWBOVDURI23DIK,Booster Bundle,151 Booster Bundle,https://items-images-production.s3.us-west-2.amazonaws.com/files/3eb25de82befc8e51a98f09c4d7c9dce04e76324/original.jpeg,,
TOV4ZEF744ZZMLNFIYKOBFTS,Booster Bundle,Ascended Heroes Booster Bundle,https://items-images-production.s3.us-west-2.amazonaws.com/files/e9c46ecd567a110f10a01131bc7313e1fe6362ca/original.jpeg,,
QJDYP46VR2BM47FI527IWX6P,Booster Pack,Evolving Skies Booster Pack,https://items-images-production.s3.us-west-2.amazonaws.com/files/66fd129afdaee3fcc48cf954399ea8b6dff148a2/original.jpeg,,
OOL5YTLREO3N7KCNLTI6RGVX,Collection,First Partner Illustration Collection (Series 1),https://items-images-production.s3.us-west-2.amazonaws.com/files/654c1946ee8c737700d7089f182f628058444305/original.jpeg,,
ITUKDKWSUMRVQBGHWIH24CEC,Collection Box,Mega Feraligatr ex Box,https://items-images-production.s3.us-west-2.amazonaws.com/files/b6613f57df9db5aa64315b5db144911b41f70b2f/original.jpeg,,
2ABL3XKWDTSZ24L2WTAXVFOH,Deck,Mega Battle Deck (Mega Diancie ex),https://items-images-production.s3.us-west-2.amazonaws.com/files/4ec8836d83d35d3f198c48bc7bb81489eeaa7a3d/original.jpeg,,
Z7DA3MEVSO7XPAICXHWXOAR5,ETB,Ascended Heroes Elite Trainer Box,https://items-images-production.s3.us-west-2.amazonaws.com/files/a2156c370fc0064c2c5be7899c646f444f690fbe/original.jpeg,,
M5MDICKEG7IS3S2PPQLIPJJU,ETB,Prismatic Evolutions Elite Trainer Box,https://items-images-production.s3.us-west-2.amazonaws.com/files/c6c7916cec3fcfd559a555e5d85a117e8528a4d7/original.jpeg,,
ITF4CEXCTLYZSEGBY4BBWIWF,Mini Tin,151 Mini Tin,https://items-images-production.s3.us-west-2.amazonaws.com/files/81aeb731a65190813986d57ba01838e6875297a7/original.jpeg,,
66WMTOYQW2Z2264BNRAGISUH,Mini Tin,Mega Heroes Mini Tin [Mega Venusaur],https://items-images-production.s3.us-west-2.amazonaws.com/files/becfb462bddeec5c262e27005483bf318887fbf9/original.jpeg,,
NHLKT52ZXGRYQSLYWQC3NQNR,Mini Tin,Prismatic Evolutions Mini Tin,https://items-images-production.s3.us-west-2.amazonaws.com/files/c241750d320242118455e00cbfb9c2d177ea24c3/original.jpeg,,
PJK5ICCIJSR32RPJNLFXK6QK,Premium Checklane Blister,Surging Sparks Premium Checklane Blister [Alakazam],https://items-images-production.s3.us-west-2.amazonaws.com/files/44ca79229dd41e55fe43caebd7364a09eb903f25/original.jpeg,,
D7NZ53ARGSFJAUW3DQTII6Z7,Premium Checklane Blister,Temporal Forces Premium Checklane Blister [Togekiss],https://items-images-production.s3.us-west-2.amazonaws.com/files/bde88fa14140479b393ed9acb172b96412a43afe/original.jpeg,,
EFLVDVCPDZ5VNDF5ICU2JO5E,Premium Checklane Blister,Twilight Masquerade Premium Checklane Blister [Horsea],https://items-images-production.s3.us-west-2.amazonaws.com/files/31b99520fb888bc9d13613ce00f8471e62025b37/original.jpeg,,
NY74XQRTHQRCTUVQFKTEPBAU,Single Pack Blister,Mega Evolution Single Pack Blister [Drifblim,https://items-images-production.s3.us-west-2.amazonaws.com/files/5d19a5e6d44b431e26f147d3298222d68a9d337a/original.jpeg,,
