Item name,Box(JPY),No Shrink(JPY),"Pre-order or in-stock
or Sourcing","stock
(shrink)","stock
(No shrink)",Update,,,
"Abyss Eye M5 
(Scheduled to ship on May 21st)","¥15,000",Coming soon,Pre-order,80,0,2026/05/19,,"Here is the chart for the box price in Japan.
https://docs.google.com/spreadsheets/d/1DRRjKhHJDgmmeFiovmPjv3OOkUg6RbOBzuqybS8uRqc/edit?gid=1713596277#gid=1713596277",
"Abyss Eye M5 
(Scheduled to ship on May 22nd)","¥13,300",Coming soon,Pre-order,100,0,2026/05/19,,,
"Abyss Eye M5 
(Scheduled to ship on May 25th)","¥12,800","¥12,600",Pre-order,100,100,2026/05/19,,,
Ninja Spinner M4,"¥11,850","¥10,350",in-stock,55,185,2026/05/19,,,
Munikis Zero M3,"¥8,699","¥7,699",in-stock,41,17,2026/05/19,,,
MEGA Dream ex M2a,"¥16,900","¥15,400",in-stock,145,211,2026/05/19,,Conversion Rate,
Inferno X M2,"¥28,797","¥24,797",in-stock,21,15,2026/05/19,,1USD,¥158.83
Mega Brave M1L,"¥13,599","¥12,099",in-stock,19,59,2026/05/19,,1EUR,¥184.41
Mega Symphonia M1S,"¥10,800","¥9,300",in-stock,42,33,2026/05/19,,1HKD,¥20.28
"White Flare sv11W
Expansion Pack Deluxe Gym Exclusive","¥26,700","¥25,200",in-stock,3,0,2026/05/19,,1AUD,¥112.99
"Black Bolt sv11B
Expansion Pack Deluxe Gym Exclusive","¥29,700","¥28,200",in-stock,2,0,2026/05/19,,1SGD,¥123.95
White Flare sv11W,"¥22,700","¥19,700",in-stock,0,11,2026/05/19,,1AUD,¥112.99
Black Bolt sv11B,"¥25,700","¥22,700",in-stock,1,23,2026/05/19,,,
Glory of Team Rocket sv10,"¥29,200","¥25,200",in-stock,0,8,2026/05/19,,,
Hot Air Arena sv9a,"¥22,700","¥21,200",in-stock,11,0,2026/05/19,,,
Battle Partners sv9,"¥10,700","¥9,700",in-stock,7,7,2026/05/19,,,
Terrastal Festival ex sv8a,"¥22,700","¥20,200",in-stock,13,4,2026/05/19,,,
Super Charged Breaker sv8,"¥39,800","¥31,800",in-stock,7,0,2026/05/19,,,
Paradise dragona sv7a,"¥20,200","¥18,700",in-stock,11,0,2026/05/19,,,
Stellar Miracle sv7,"¥11,399","¥9,899",in-stock,13,5,2026/05/19,,,
Night Wanderer sv6a,"¥11,700","¥10,200",in-stock,9,0,2026/05/19,,,
Mask Of Change sv6,"¥13,200","¥11,700",in-stock,7,0,2026/05/19,,,
Crimson Haze sv5a,"¥15,700","¥14,200",in-stock,9,0,2026/05/19,,,
Wild Force sv5k,"¥13,289","¥11,789",in-stock,10,0,2026/05/19,,,
Cyber Judge sv5m,"¥10,700","¥9,200",in-stock,3,0,2026/05/19,,,
Shiny Treasure  sv4a,"¥19,200","¥17,700",in-stock,0,12,2026/05/19,,,
Ancient Roar sv4k,"¥11,800","¥10,300",in-stock,13,2,2026/05/19,,,
Flash of the Future sv4m,"¥10,700","¥9,200",in-stock,4,5,2026/05/19,,,
Raging Surf sv3a,"¥13,700","¥12,200",in-stock,6,0,2026/05/19,,,
Black Flame Ruler sv3,"¥23,769","¥22,269",in-stock,0,0,2026/05/19,,,
151 sv2a,"¥69,300","¥67,800",in-stock,2,0,2026/05/19,,,
Snow Hazard sv2p,"¥11,350","¥9,850",in-stock,8,0,2026/05/19,,,
Clay Burst sv2d,"¥13,300","¥11,800",in-stock,11,0,2026/05/19,,,
Triplet Beat sv1a,"¥20,100","¥18,600",in-stock,0,1ぺり無し,2026/05/19,,,
Scarlet ex sv1s,"¥13,800","¥12,300",in-stock,1,0,2026/05/19,,,
Violet ex sv1v,"¥11,000","¥9,500",in-stock,18,0,2026/05/19,,,
VSTAR Universe s12a,"¥33,300","¥31,800",in-stock,4,0,2026/05/19,,,
Paradigm Trigger s12,"¥29,799","¥28,299",in-stock,3,0,2026/05/19,,,
Incandescent Arcana,"¥12,880","¥11,380",in-stock,4,0,2026/05/19,,,
Lost Abyss s11,"¥71,299","¥69,799",in-stock,1,0,2026/05/19,,,
Starbirth s9,"¥26,300","¥24,800",in-stock,0,0,2026/05/19,,,
VMAX Climax s8b,"¥41,000","¥39,500",in-stock,2,2ぺり無し,2026/05/19,,,
25th Anniversary Collection s8a,"¥86,798","¥85,298",in-stock,0,0,2026/05/19,,,
Blue Sky Stream s7r,"¥378,800","¥377,300",in-stock,0,0,2026/05/19,,,
Eevee Heroes s6a,"¥179,799","¥178,299",in-stock,0,0,2026/05/19,,,
