product,status,category,nexus_yen_shrink,nexus_yen_no_shrink,nexus_usd_shrink,nexus_usd_no_shrink,landed_usd_shrink,tcg_market_usd,margin_usd,margin_pct,tcg_set,tcg_pid,nexus_stock_shrink,nexus_stock_no_shrink,sk_par_target,notes
Mega Symphonia M1S,in-stock,hype,10800,9300,68.00,58.55,79.40,102.27,22.87,28.8%,m1S Mega Symphonia,647501,42,33,,
Munikis Zero M3,in-stock,hype,8699,7699,54.77,48.47,65.51,83.66,18.15,27.7%,M3 Nihil Zero,674449,41,17,,
Ninja Spinner M4,in-stock,hype,11850,10350,74.61,65.16,86.34,109.58,23.24,26.9%,M4 Ninja Spinner,683774,55,185,,
Battle Partners sv9,in-stock,mid,10700,9700,67.37,61.07,78.74,88.76,10.02,12.7%,SV9 Battle Partners,614707,7,7,,
Mega Brave M1L,in-stock,thin,13599,12099,85.62,76.18,97.90,106.49,8.59,8.8%,m1L Mega Brave,647500,19,59,,
MEGA Dream ex M2a,in-stock,thin,16900,15400,106.40,96.96,119.72,125.68,5.96,5.0%,M2a MEGA Dream ex,666254,145,211,,
Cyber Judge sv5m,in-stock,thin,10700,9200,67.37,57.92,78.74,81.22,2.48,3.2%,SV5M Cyber Judge,565222,3,0,,
Shiny Treasure sv4a,in-stock,thin,19200,17700,120.88,111.44,134.93,137.53,2.60,1.9%,SV4a Shiny Treasure ex,565232,0,12,,
VSTAR Universe s12a,in-stock,underwater,33300,31800,209.66,200.21,228.14,227.55,-0.59,-0.3%,S12a VSTAR Universe,565252,4,0,,
Mask Of Change sv6,in-stock,underwater,13200,11700,83.11,73.66,95.26,94.49,-0.77,-0.8%,SV6 Transformation Mask,565221,7,0,,
Stellar Miracle sv7,in-stock,underwater,11399,9899,71.77,62.32,83.36,81.29,-2.07,-2.5%,SV7 Stellar Miracle,565217,13,5,,
Wild Force sv5k,in-stock,underwater,13289,11789,83.67,74.22,95.85,91.59,-4.26,-4.4%,SV5K Wild Force,565225,10,0,,
Crimson Haze sv5a,in-stock,underwater,15700,14200,98.85,89.40,111.79,103.00,-8.79,-7.9%,SV5a Crimson Haze,565226,9,0,,
151 sv2a,in-stock,underwater,69300,67800,436.32,426.87,466.13,365.16,-100.97,-21.7%,SV2a 151,565243,2,0,,
Paradise dragona sv7a,in-stock,underwater,20200,18700,127.18,117.74,141.54,92.33,-49.21,-34.8%,SV7a Paradise Dragona,580709,11,0,,
Super Charged Breaker sv8,in-stock,underwater,39800,31800,250.58,200.21,271.11,160.07,-111.04,-41.0%,SV8 Super Electric Breaker,587728,7,0,,
Eevee Heroes s6a,in-stock,underwater,179799,178299,1132.02,1122.58,1196.62,670.64,-525.98,-44.0%,S6a Eevee Heroes,565351,0,0,,
Inferno X M2,in-stock,no-tcg-data,28797,24797,181.31,156.12,198.37,,,,,,21,15,,
White Flare sv11W (Deluxe Gym Exclusive),in-stock,no-tcg-data,26700,25200,168.10,158.66,184.51,,,,,,3,0,,
Black Bolt sv11B (Deluxe Gym Exclusive),in-stock,no-tcg-data,29700,28200,186.99,177.55,204.34,,,,,,2,0,,
White Flare sv11W,in-stock,no-tcg-data,22700,19700,142.92,124.03,158.07,,,,,,0,11,,
Black Bolt sv11B,in-stock,no-tcg-data,25700,22700,161.81,142.92,177.90,,,,,,1,23,,
Glory of Team Rocket sv10,in-stock,no-tcg-data,29200,25200,183.84,158.66,201.04,,,,,,0,8,,
Hot Air Arena sv9a,in-stock,no-tcg-data,22700,21200,142.92,133.48,158.07,,,,,,11,0,,
Terrastal Festival ex sv8a,in-stock,no-tcg-data,22700,20200,142.92,127.18,158.07,,,,,,13,4,,
Night Wanderer sv6a,in-stock,no-tcg-data,11700,10200,73.66,64.22,85.35,,,,,,9,0,,
Ancient Roar sv4k,in-stock,no-tcg-data,11800,10300,74.29,64.85,86.01,,,,,,13,2,,
Flash of the Future sv4m,in-stock,no-tcg-data,10700,9200,67.37,57.92,78.74,,,,,,4,5,,
Raging Surf sv3a,in-stock,no-tcg-data,13700,12200,86.26,76.81,98.57,,,,,,6,0,,
Black Flame Ruler sv3,in-stock,no-tcg-data,23769,22269,149.65,140.21,165.13,,,,,,0,0,,
Snow Hazard sv2p,in-stock,no-tcg-data,11350,9850,71.46,62.02,83.03,,,,,,8,0,,
Clay Burst sv2d,in-stock,no-tcg-data,13300,11800,83.74,74.29,95.92,,,,,,11,0,,
Triplet Beat sv1a,in-stock,no-tcg-data,20100,18600,126.55,117.11,140.88,,,,,,0,1,,
Scarlet ex sv1s,in-stock,no-tcg-data,13800,12300,86.89,77.44,99.23,,,,,,1,0,,
Violet ex sv1v,in-stock,no-tcg-data,11000,9500,69.26,59.81,80.72,,,,,,18,0,,
Paradigm Trigger s12,in-stock,no-tcg-data,29799,28299,187.62,178.17,205.00,,,,,,3,0,,
Incandescent Arcana,in-stock,no-tcg-data,12880,11380,81.09,71.65,93.15,,,,,,4,0,,
Lost Abyss s11,in-stock,no-tcg-data,71299,69799,448.90,439.46,479.35,,,,,,1,0,,
Starbirth s9,in-stock,no-tcg-data,26300,24800,165.59,156.14,181.87,,,,,,0,0,,
VMAX Climax s8b,in-stock,no-tcg-data,41000,39500,258.14,248.69,279.04,,,,,,2,2,,
25th Anniversary Collection s8a,in-stock,no-tcg-data,86798,85298,546.48,537.04,581.81,,,,,,0,0,,
Blue Sky Stream s7r,in-stock,no-tcg-data,378800,377300,2384.94,2375.50,2512.19,,,,,,0,0,,
Abyss Eye M5,Pre-order,pre-order,15000,,94.44,,107.16,,,,,,80,0,,
Abyss Eye M5,Pre-order,pre-order,13300,,83.74,,95.92,,,,,,100,0,,
Abyss Eye M5,Pre-order,pre-order,12800,12600,80.59,79.33,92.62,,,,,,100,100,,
